PRODUCT_NAME,PRODUCT_PRICE,DEALER_1_PRICE,DEALER_2_PRICE,DEALER_3_PRICE,SALES_COUNT_DEALER_1,SALES_COUNT_DEALER_2,SALES_COUNT_DEALER_3
Coat,402,428,339,419,62,98,72
Shorts,402,434,316,380,73,60,84
Shorts,406,346,353,445,77,79,53
Skirt,392,354,407,432,100,83,93
Jacket,320,302,302,433,74,89,62
Shorts,371,321,302,311,54,75,60
Shorts,392,365,371,369,99,96,54
Jeans,371,353,390,391,54,72,77
Pants,371,328,422,396,51,67,93
Sweater,421,375,389,443,82,56,87
Blouse,402,330,348,336,92,77,77
T-shirt,402,345,301,352,69,50,50
Jeans,374,323,402,314,75,82,86
Shorts,320,353,367,335,85,93,88
T-shirt,406,400,398,434,91,58,98
Sweater,320,442,336,405,93,83,93
Blouse,374,332,429,343,91,93,59
Blouse,374,366,423,399,58,100,69
Pants,402,339,317,325,62,88,82
Pants,421,445,429,449,84,87,52
Pants,402,402,398,340,91,90,92
Sweater,374,328,316,436,71,72,79
Coat,374,414,324,357,62,68,61
Jeans,402,352,362,408,65,84,75
Pants,421,322,383,316,56,65,84
Jeans,371,360,408,354,74,81,67
Sweater,392,391,383,400,77,51,57
Skirt,314,366,308,347,80,83,55
Jeans,421,387,341,333,77,67,63
Shorts,392,362,407,411,72,56,72
Blouse,392,407,422,446,61,55,92
Skirt,371,300,383,331,95,87,57
Blouse,314,308,338,345,53,79,61
Blouse,374,392,413,389,86,58,72
Jacket,402,353,450,425,98,78,99
Sweater,402,444,375,445,77,55,69
Jeans,402,422,427,345,59,84,69
Pants,402,444,439,315,73,74,56
Dress,402,334,315,374,66,70,93
Sweater,387,402,317,391,95,78,85
Pants,374,388,365,345,62,82,54
Skirt,320,393,350,383,73,97,87
Jeans,402,345,342,357,87,96,99
Sweater,421,370,329,360,73,63,85
T-shirt,374,374,380,437,83,95,98
Jeans,421,423,371,361,62,74,62
Pants,406,437,424,450,83,90,78
T-shirt,371,335,332,309,69,50,62
Pants,392,422,399,448,58,71,72
Skirt,406,314,373,352,80,91,53
Skirt,402,362,358,376,59,96,60
Jacket,406,313,393,385,97,76,70
Blouse,406,376,442,327,65,51,66
Blouse,320,332,382,363,72,54,74
Jeans,402,381,418,356,90,88,75
Coat,314,351,407,354,60,58,99
T-shirt,406,324,410,313,53,63,91
Pants,402,423,353,351,56,90,59
Coat,387,400,369,322,58,80,56
Pants,421,394,400,378,55,63,77
Pants,402,360,340,422,99,68,96
T-shirt,402,305,372,378,98,95,67
Blouse,320,301,380,419,55,62,71
Pants,314,427,371,300,50,81,91
Dress,320,430,388,447,77,64,79
Skirt,402,353,379,418,66,94,75
Sweater,314,399,427,318,56,80,97
T-shirt,314,417,367,344,77,100,53
T-shirt,320,322,328,328,52,50,68
T-shirt,371,376,370,437,67,81,56
Blouse,374,420,315,386,83,82,99
T-shirt,402,341,427,383,86,81,56
T-shirt,392,385,307,448,54,65,67
Coat,314,324,449,388,62,57,54
Blouse,402,349,385,450,71,92,62
Blouse,314,368,409,305,56,85,84
Sweater,402,302,353,389,59,97,80
Sweater,421,339,327,374,73,97,93
Sweater,387,415,386,356,50,78,97
Sweater,371,370,390,332,54,90,91
